Name	Position	Match	Kills	Attempts	Aces	Blocks	Errors	Perfect_Receives	Total_Receives
Ayþe Kaya	OH	1	14	25	2	3	2	18	22
Ayþe Kaya	OH	2	17	28	3	2	1	20	24
Ayþe Kaya	OH	3	12	22	1	4	3	15	19
Fatma Demir	OH	1	11	22	1	2	3	14	18
Fatma Demir	OH	2	13	24	2	3	2	16	20
Fatma Demir	OH	3	15	26	3	2	1	19	23
Selin Arslan	OPP	1	18	30	3	2	2		
Selin Arslan	OPP	2	21	33	4	3	1		
Selin Arslan	OPP	3	16	28	2	4	3		
Büþra Yýldýz	MB	1	10	18	1	6	1		
Büþra Yýldýz	MB	2	12	20	2	7	2		
Büþra Yýldýz	MB	3	11	19	1	8	1		
Merve Çelik	S	1			3	2	1		
Merve Çelik	S	2			4	3	1		
Merve Çelik	S	3			2	1	2		
Zeynep Kurt	L	1					1	24	28
Zeynep Kurt	L	2					2	27	30
Zeynep Kurt	L	3					1	22	26
